cell,t,x_canon,x_phantom,separation,drift_canon,drift_phantom,rms_canon,rms_phantom,peak_amplitude,confined_frac,min_chi
pair_mm,56.0,,32.015520590834285,,,0.015099461522332547,,28.09597202995848,0.03993671889129462,0.04218057469275779,0.9923939188271467
pair_mm,60.0,,32.039277215823404,,,0.03885608651145134,,28.23967691926584,0.038436862315455164,0.0440276237160637,0.9901298308623224
pair_pm_eqm,0.0,36.001417293958035,28.002161334586667,7.999255959371368,0.0,0.0,5.045296464341313,5.162287111719925,0.03887204136170701,0.3150476596028469,0.9821198071279261
pair_pm_eqm,4.0,36.00147982935999,28.004899223866115,7.996580605493872,6.253540195189089e-05,0.002737889279448069,5.05529755671752,5.156478573273511,0.03907113871646695,0.3149588703298631,0.9784575724620683
pair_pm_eqm,8.0,36.0084618349513,28.02817840632576,7.980283428625537,0.0070445409932631264,0.026017071739094177,5.072029175174503,5.17973045887504,0.039208447529463786,0.3137546113289785,0.9803643540070162
pair_pm_eqm,12.0,36.0206511443968,28.087121326076627,7.933529818320174,0.019233850438766353,0.08495999148995992,5.166898248532873,5.368973474886731,0.0393767319767346,0.31139523703031957,0.976946415970954
pair_pm_eqm,16.0,36.047403489294744,28.165713342824855,7.881690146469889,0.04598619533670956,0.16355200823818805,5.480154758015296,5.586051241683381,0.03954438717127651,0.3093271223296199,0.9678571849571161
pair_pm_eqm,20.0,36.11392308295795,28.298655225600818,7.815267857357135,0.11250578899991837,0.29649389101415125,5.859695953775873,5.945008421748388,0.03952604904986903,0.3080109103795438,0.9545112522378094
pair_pm_eqm,24.0,36.23485297167827,28.497547158842927,7.737305812835345,0.23343567772023732,0.4953858242562603,6.391222774548087,6.489934571292528,0.03986647492432613,0.30345325777687643,0.9376513596192728
pair_pm_eqm,28.0,36.40750447663157,28.79100157971472,7.6165028969168524,0.40608718267353794,0.7888402451280534,7.123165078856477,7.078871480150421,0.04011248724446357,0.3031728860165079,0.9173774560833259
pair_pm_eqm,32.0,36.62190692404096,29.215944053839987,7.40596287020097,0.6204896300829219,1.2137827192533202,7.935957408926912,7.719334063908056,0.040753261303221974,0.30631532620230933,0.893485669558974
pair_pm_eqm,36.0,36.887189486735814,29.819270826788912,7.067918659946901,0.8857721927777789,1.8171094922022455,8.748618499680356,8.386482759897183,0.04143472843073005,0.31410125819099877,0.8653676140602116
pair_pm_eqm,40.0,37.21261988649639,30.59919190913736,6.613427977359031,1.2112025925383563,2.5970305745506934,9.478756570245485,8.935360118881086,0.042231834526245765,0.32624735108705943,0.8311530488179681
pair_pm_eqm,44.0,37.59060763332251,31.588110061748512,6.0024975715740005,1.5891903393644782,3.5859487271618455,10.004260693529842,9.325900323891046,0.043930287652735545,0.35254060362610934,0.7884924240273496
pair_pm_eqm,48.0,38.004796680223066,32.83938425749249,5.165412422730576,2.0033793862650313,4.8372229229058235,10.338012747286635,9.608071360935828,0.045542637130395,0.3979815254951945,0.7338591748921406
pair_pm_eqm,52.0,38.403672076927194,34.33372998016041,4.0699420967667805,2.402254782969159,6.331568645573746,10.529758366632413,9.900874494213548,0.0477164893732175,0.47159872664615,0.6614187038573176
pair_pm_eqm,56.0,38.735941719945345,35.97977827849899,2.756163441446354,2.73452442598731,7.977616943912324,10.657911740661863,10.479639272686576,0.05097354880363912,0.5824167073668987,0.559349966039437
pair_pm_eqm,60.0,38.94370125086139,37.586087041548254,1.3576142093131338,2.9422839569033528,9.583925706961587,10.9302050235462,11.773766224316246,0.05682701061517498,0.682939990200946,0.41077237118951554
pair_mp_mirror,0.0,27.99761386257768,35.99846957947024,-8.00085571689256,0.0,0.0,5.045419289780923,5.4267484448347165,0.04071346001404409,0.30194131953582615,0.9843472991712702
pair_mp_mirror,4.0,27.99527549033702,35.99736237672327,-8.002086886386248,-0.002338372240661357,-0.0011072027469722912,5.0575162073731255,5.422506659089452,0.04071682438241038,0.30191124724180823,0.9814746929750476
pair_mp_mirror,8.0,27.981321558708487,35.98213248229469,-8.0008109235862,-0.016292303869192892,-0.016337097175551207,5.079738459471234,5.448003642804183,0.04071509443568841,0.300840665566504,0.9821061610393985
pair_mp_mirror,12.0,27.96632885694692,35.94190034354849,-7.97557148660157,-0.03128500563076031,-0.05656923592174934,5.210970208309991,5.614689098821281,0.04064637469108494,0.2963474308599828,0.9791487086106827
pair_mp_mirror,16.0,27.92834760238685,35.882903080738686,-7.9545554783518355,-0.0692662601908296,-0.11556649873155322,5.598468627924369,5.793531245595262,0.04050090030356113,0.2898383428160085,0.9703170457252117
pair_mp_mirror,20.0,27.84616842383766,35.774025234513964,-7.927856810676303,-0.15144543874001926,-0.2244443449562752,6.0630614445288185,6.093445676297541,0.04079470355846867,0.28919384201372433,0.9573035147779787
pair_mp_mirror,24.0,27.703397999622457,35.609327492524564,-7.905929492902107,-0.2942158629552232,-0.3891420869456752,6.7087838389986345,6.559987447369929,0.040681559211405205,0.28422844920776486,0.9408447160521864
pair_mp_mirror,28.0,27.50637312751706,35.35758208279027,-7.851208955273211,-0.49124073506061805,-0.6408874966799658,7.575942629660096,7.052416277568224,0.040922477777733994,0.28019722595132596,0.9210622144446092
pair_mp_mirror,32.0,27.27019912900359,34.975459958583926,-7.705260829580336,-0.7274147335740899,-1.023009620886313,8.543610405180747,7.584810911330583,0.041031371788998586,0.2801528703487504,0.8977389768522922
pair_mp_mirror,36.0,26.98544395279878,34.43997743094677,-7.45453347814799,-1.0121699097789012,-1.5584921485234702,9.52113424129329,8.11781396454509,0.041339694723268594,0.2812957498829119,0.8701736981475442
pair_mp_mirror,40.0,26.635845909708724,33.73700746886691,-7.101161559158189,-1.3617679528689557,-2.2614621106033255,10.385616055297781,8.515497841907639,0.04200031917822587,0.2863156675283442,0.8370802312876149
pair_mp_mirror,44.0,26.2279014667368,32.82866212510324,-6.600760658366443,-1.7697123958408802,-3.169807454366996,10.999477435987103,8.74300003238408,0.04297038305704254,0.3024001979601979,0.7969019662527682
pair_mp_mirror,48.0,25.782399991950573,31.670817285006834,-5.888417293056261,-2.2152138706271067,-4.327652294463405,11.395358644909548,8.851304012771843,0.044758178792937045,0.33346271924575666,0.7435236090037531
