cell,u,radius,r_psi4
convA_pm_n192,40.0,8.0,1.315290e-01
convA_pm_n192,40.0,16.0,4.632761e-02
convA_pm_n256,5.0,8.0,2.267955e-03
convA_pm_n256,5.0,16.0,3.716919e-03
convA_pm_n256,10.0,8.0,5.855481e-03
convA_pm_n256,10.0,16.0,6.397857e-03
convA_pm_n256,15.0,8.0,1.240031e-02
convA_pm_n256,15.0,16.0,1.039023e-02
convA_pm_n256,20.0,8.0,2.295004e-02
convA_pm_n256,20.0,16.0,1.537620e-02
convA_pm_n256,25.0,8.0,3.908778e-02
convA_pm_n256,25.0,16.0,2.162063e-02
convA_pm_n256,30.0,8.0,6.230885e-02
convA_pm_n256,30.0,16.0,2.903879e-02
convA_pm_n256,35.0,8.0,9.348498e-02
convA_pm_n256,35.0,16.0,3.746612e-02
convA_pm_n256,40.0,8.0,1.325456e-01
convA_pm_n256,40.0,16.0,4.667751e-02
convA_pm_sep12_n128,5.0,8.0,1.330597e-03
convA_pm_sep12_n128,5.0,16.0,2.387133e-03
convA_pm_sep12_n128,10.0,8.0,4.350851e-03
convA_pm_sep12_n128,10.0,16.0,4.290588e-03
convA_pm_sep12_n128,15.0,8.0,1.049202e-02
convA_pm_sep12_n128,15.0,16.0,7.646168e-03
convA_pm_sep12_n128,20.0,8.0,2.123631e-02
convA_pm_sep12_n128,20.0,16.0,1.238741e-02
convA_pm_sep12_n128,25.0,8.0,3.855897e-02
convA_pm_sep12_n128,25.0,16.0,1.877619e-02
convA_pm_sep12_n128,30.0,8.0,6.481211e-02
convA_pm_sep12_n128,30.0,16.0,2.705947e-02
convA_pm_sep12_n128,35.0,8.0,1.033399e-01
convA_pm_sep12_n128,35.0,16.0,3.809804e-02
convA_pm_sep12_n128,40.0,8.0,1.609513e-01
convA_pm_sep12_n128,40.0,16.0,5.301686e-02
convA_pm_sep12_n192,5.0,8.0,1.466385e-03
convA_pm_sep12_n192,5.0,16.0,2.449179e-03
convA_pm_sep12_n192,10.0,8.0,4.441546e-03
convA_pm_sep12_n192,10.0,16.0,4.323225e-03
convA_pm_sep12_n192,15.0,8.0,1.052843e-02
convA_pm_sep12_n192,15.0,16.0,7.651581e-03
convA_pm_sep12_n192,20.0,8.0,2.120084e-02
convA_pm_sep12_n192,20.0,16.0,1.235709e-02
convA_pm_sep12_n192,25.0,8.0,3.837687e-02
convA_pm_sep12_n192,25.0,16.0,1.863621e-02
convA_pm_sep12_n192,30.0,8.0,6.444840e-02
convA_pm_sep12_n192,30.0,16.0,2.681865e-02
convA_pm_sep12_n192,35.0,8.0,1.026909e-01
convA_pm_sep12_n192,35.0,16.0,3.762158e-02
convA_pm_sep12_n192,40.0,8.0,1.589186e-01
convA_pm_sep12_n192,40.0,16.0,5.218496e-02
convA_pm_sep12_n256,5.0,8.0,1.540256e-03
convA_pm_sep12_n256,5.0,16.0,2.473674e-03
convA_pm_sep12_n256,10.0,8.0,4.528835e-03
convA_pm_sep12_n256,10.0,16.0,4.344159e-03
convA_pm_sep12_n256,15.0,8.0,1.063729e-02
convA_pm_sep12_n256,15.0,16.0,7.663991e-03
convA_pm_sep12_n256,20.0,8.0,2.135546e-02
convA_pm_sep12_n256,20.0,16.0,1.236330e-02
convA_pm_sep12_n256,25.0,8.0,3.859736e-02
